id,event_id,latitude,longitude,type,area,date_time,elevation,slope,state,county,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,canopy,event_url,fccs_number,owner,sf_event_guid,sf_server,sf_stream_name,timezone,veg
SF11C15217761722178580,SF11E968453,48.121,-120.918,RX,45.9999998858,201609160000-07:00,0.0,10.0,WA,,USA,53007,2810015000,1.5,2.6,2.5,2.0,3.7,7.0,2.23,0.14,32.7,1.5,0.02,10.0,12.0,12.0,22.0,130.0,150.0,11.409648281,9.67214782751,14.8061227937,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1452897460.605871,22.548499000000003,26.607229000000004,274.2790100000001,2434.4435600000006,13.116275000000002,2.2925410000000004,4.473456,1.6178290000000002,64.306035,10.6,http://128.208.123.111/smartfire/events/0ea0a603-ac05-4a77-af25-07faac80e37c,9,,0ea0a603-ac05-4a77-af25-07faac80e37c,128.208.123.111,realtime,-8.0,Douglas-fir - Western Hemlock - Western redcedar / Vine maple forest
SF11C15217761722178580,SF11E968453,48.121,-120.918,RX,45.9999998858,201609170000-07:00,0.0,10.0,WA,,USA,53007,2810015000,1.5,2.6,2.5,2.0,3.7,7.0,2.23,0.14,32.7,1.5,0.02,10.0,12.0,12.0,22.0,130.0,150.0,11.409648281,9.67214782751,14.8061227937,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1452897460.605871,22.548499000000003,26.607229000000004,274.2790100000001,2434.4435600000006,13.116275000000002,2.2925410000000004,4.473456,1.6178290000000002,64.306035,10.6,http://128.208.123.111/smartfire/events/0ea0a603-ac05-4a77-af25-07faac80e37c,9,,0ea0a603-ac05-4a77-af25-07faac80e37c,128.208.123.111,realtime,-8.0,Douglas-fir - Western Hemlock - Western redcedar / Vine maple forest
SF11C15217761722178580,SF11E968453,48.121,-120.918,RX,45.9999998858,201609180000-07:00,0.0,10.0,WA,,USA,53007,2810015000,1.5,2.6,2.5,2.0,3.7,7.0,2.23,0.14,32.7,1.5,0.02,10.0,12.0,12.0,22.0,130.0,150.0,11.409648281,9.67214782751,14.8061227937,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1452897460.605871,22.548499000000003,26.607229000000004,274.2790100000001,2434.4435600000006,13.116275000000002,2.2925410000000004,4.473456,1.6178290000000002,64.306035,10.6,http://128.208.123.111/smartfire/events/0ea0a603-ac05-4a77-af25-07faac80e37c,9,,0ea0a603-ac05-4a77-af25-07faac80e37c,128.208.123.111,realtime,-8.0,Douglas-fir - Western Hemlock - Western redcedar / Vine maple forest
SF11C15217771722178580,SF11E968453,48.1,-120.927,RX,45.9999998858,201609150000-07:00,0.0,10.0,WA,,USA,53007,2810015000,0.2,0.2,0.4,0.2,6.0,2.5,0.16,0.08,24.5,2.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,5.4758425962,6.99533126987,11.3298879043,0.0012328632428,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,806126184.3302921,15.853863,18.707558999999993,195.208386,1589.8517340000005,9.280554999999996,1.3749790000000002,3.178853,1.0729460000000002,45.695895,9.38,http://128.208.123.111/smartfire/events/0ea0a603-ac05-4a77-af25-07faac80e37c,238,,0ea0a603-ac05-4a77-af25-07faac80e37c,128.208.123.111,realtime,-8.0,Pacific silver fir - Mountain hemlock forest
SF11C15217771722178580,SF11E968453,48.1,-120.927,RX,45.9999998858,201609160000-07:00,0.0,10.0,WA,,USA,53007,2810015000,0.2,0.2,0.4,0.2,6.0,2.5,0.16,0.08,24.5,2.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,5.4758425962,6.99533126987,11.3298879043,0.0012328632428,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,806126184.3302921,15.853863,18.707558999999993,195.208386,1589.8517340000005,9.280554999999996,1.3749790000000002,3.178853,1.0729460000000002,45.695895,9.38,http://128.208.123.111/smartfire/events/0ea0a603-ac05-4a77-af25-07faac80e37c,238,,0ea0a603-ac05-4a77-af25-07faac80e37c,128.208.123.111,realtime,-8.0,Pacific silver fir - Mountain hemlock forest
SF11C15217771722178580,SF11E968453,48.1,-120.927,RX,45.9999998858,201609170000-07:00,0.0,10.0,WA,,USA,53007,2810015000,0.2,0.2,0.4,0.2,6.0,2.5,0.16,0.08,24.5,2.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,5.4758425962,6.99533126987,11.3298879043,0.0012328632428,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,806126184.3302921,15.853863,18.707558999999993,195.208386,1589.8517340000005,9.280554999999996,1.3749790000000002,3.178853,1.0729460000000002,45.695895,9.38,http://128.208.123.111/smartfire/events/0ea0a603-ac05-4a77-af25-07faac80e37c,238,,0ea0a603-ac05-4a77-af25-07faac80e37c,128.208.123.111,realtime,-8.0,Pacific silver fir - Mountain hemlock forest
SF11C15217771722178580,SF11E968453,48.1,-120.927,RX,45.9999998858,201609180000-07:00,0.0,10.0,WA,,USA,53007,2810015000,0.2,0.2,0.4,0.2,6.0,2.5,0.16,0.08,24.5,2.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,5.4758425962,6.99533126987,11.3298879043,0.0012328632428,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,806126184.3302921,15.853863,18.707558999999993,195.208386,1589.8517340000005,9.280554999999996,1.3749790000000002,3.178853,1.0729460000000002,45.695895,9.38,http://128.208.123.111/smartfire/events/0ea0a603-ac05-4a77-af25-07faac80e37c,238,,0ea0a603-ac05-4a77-af25-07faac80e37c,128.208.123.111,realtime,-8.0,Pacific silver fir - Mountain hemlock forest
SF11C15217781722178580,SF11E968358,46.925,-120.931,RX,275.999999315,201609150000-07:00,0.0,10.0,WA,,USA,53037,2810015000,0.4,0.9,0.4,0.4,1.1,0.6,0.22,0.15,2.8,1.1,0.06,10.0,12.0,12.0,22.0,130.0,150.0,2.6076131232,1.27798818269,1.60985331596,3.71104950975e-05,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2643740583.4639173,18.495870999999994,21.825115000000004,219.14945500000002,2297.637256,10.614492000000004,2.4654089999999993,3.586617,1.486402,51.55757699999999,13.52,http://128.208.123.111/smartfire/events/8b856eb3-bac2-4b68-ade5-a72378372d26,52,,8b856eb3-bac2-4b68-ade5-a72378372d26,128.208.123.111,realtime,-8.0,Douglas-fir - ponderosa pine forest
SF11C15217781722178580,SF11E968358,46.925,-120.931,RX,275.999999315,201609160000-07:00,0.0,10.0,WA,,USA,53037,2810015000,0.4,0.9,0.4,0.4,1.1,0.6,0.22,0.15,2.8,1.1,0.06,10.0,12.0,12.0,22.0,130.0,150.0,2.6076131232,1.27798818269,1.60985331596,3.71104950975e-05,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2643740583.4639173,18.495870999999994,21.825115000000004,219.14945500000002,2297.637256,10.614492000000004,2.4654089999999993,3.586617,1.486402,51.55757699999999,13.52,http://128.208.123.111/smartfire/events/8b856eb3-bac2-4b68-ade5-a72378372d26,52,,8b856eb3-bac2-4b68-ade5-a72378372d26,128.208.123.111,realtime,-8.0,Douglas-fir - ponderosa pine forest
SF11C15217781722178580,SF11E968358,46.925,-120.931,RX,275.999999315,201609170000-07:00,0.0,10.0,WA,,USA,53037,2810015000,0.4,0.9,0.4,0.4,1.1,0.6,0.22,0.15,2.8,1.1,0.06,10.0,12.0,12.0,22.0,130.0,150.0,2.6076131232,1.27798818269,1.60985331596,3.71104950975e-05,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2643740583.4639173,18.495870999999994,21.825115000000004,219.14945500000002,2297.637256,10.614492000000004,2.4654089999999993,3.586617,1.486402,51.55757699999999,13.52,http://128.208.123.111/smartfire/events/8b856eb3-bac2-4b68-ade5-a72378372d26,52,,8b856eb3-bac2-4b68-ade5-a72378372d26,128.208.123.111,realtime,-8.0,Douglas-fir - ponderosa pine forest
