Permit,Region,Land Owner,Unit,Legal,Acres,Proposed Tons,Accomplished Tons,Approval,Comments,datestamp,Latitude,Longitude,DNR_Pilot,datetime
OL20160042,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,60,325,0,N,,10-12-2016,47.917777,-124.38618,FALSE,2016-10-12T07:00:00Z
OL20160043,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,100,650,100,N,,10-12-2016,47.917777,-124.38618,FALSE,2016-10-12T07:00:00Z
OL20160044,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S13,70,550,100,N,,10-12-2016,47.932002,-124.320812,FALSE,2016-10-12T07:00:00Z
OL20160122,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R12W S14,55,313,0,N,,10-12-2016,47.223061,-124.141416,FALSE,2016-10-12T07:00:00Z
OL20160125,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T31N R11W S23,135,935,840,Y,,10-12-2016,48.16879,-124.081032,FALSE,2016-10-12T07:00:00Z
OL20160127,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R11W S8,99,833,833,Y,,10-12-2016,47.237412,-124.07755,FALSE,2016-10-12T07:00:00Z
OL20160084,OLY REGION,RD MERRILL COMPANY,,T31N R12W S35,9,124,0,Y,,10-12-2016,48.140912,-124.209694,FALSE,2016-10-12T07:00:00Z
PC20160144,PC REGION,DNR,SHOWJUMPER SORTS U1,T14N R4W S11,1,681,NA,N,,10-12-2016,46.714318,-123.150933,FALSE,2016-10-12T07:00:00Z
PC20160145,PC REGION,DNR,SHOWJUMPER SORTS U3,T14N R4W S14,1,174,NA,Y,,10-12-2016,46.699707,-123.150861,FALSE,2016-10-12T07:00:00Z
PC20160252,PC REGION,PORT BLAKELY TREE FARMS L.P.,THE BLOOD TRAIL UNIT,T12N R6E S30,127,161,0,N,,10-12-2016,46.497957,-122.105091,FALSE,2016-10-12T07:00:00Z
PC20160254,PC REGION,PORT BLAKELY TREE FARMS L.P.,TIMBER DEED UNIT,T12N R6E S29,41,111,0,N,,10-12-2016,46.498122,-122.084049,FALSE,2016-10-12T07:00:00Z
PC20160257,PC REGION,PORT BLAKELY TREE FARMS L.P.,NE 18 UNIT,T11N R5E S18,101,375,0,N,,10-12-2016,46.436456,-122.230388,FALSE,2016-10-12T07:00:00Z
PC20160259,PC REGION,PORT BLAKELY TREE FARMS L.P.,EAST 20 UNIT,T11N R5E S20,20,247,0,Y,,10-12-2016,46.422169,-122.208818,FALSE,2016-10-12T07:00:00Z
PC20150458,PC REGION,PORT BLAKELY TREE FARMS LP,FURTHER DOWN,T11N R5E S19,21,137,0,Y,,10-12-2016,46.422082,-122.230237,FALSE,2016-10-12T07:00:00Z
SE20160030,SE REGION,WASHINGTON DNR,DNR COUGAR SALVAGE,T7N R12E S19,350,600,NA,,,10-12-2016,46.081442,-121.354621,FALSE,2016-10-12T07:00:00Z
10002227,WENATCHEE NF,CHELAN,BEAR MOUNTAIN PILES 2016,T27N R21E S24,117,437,0,N,criteria 8,10-12-2016,47.83228,-120.162754,FALSE,2016-10-12T07:00:00Z
10002428,WENATCHEE NF,CLE ELUM,COUNTY CORNER,T20N R12W S10,100,300,300,Y,,10-12-2016,47.24454,-121.34005,FALSE,2016-10-12T07:00:00Z
10002097,WENATCHEE NF,ENTIAT,ENTIAT RIDGE REHAB 2015,T26N R18E S2,56,534,534,Y,manage ignition and cutoffs to avoid impacts to Plain.,10-12-2016,47.781,-120.548,FALSE,2016-10-12T07:00:00Z
10002167,WENATCHEE NF,ENTIAT,FROG ROCK MACHINE,T28N R19E S17,6,311,150,Y,,10-12-2016,47.93,-120.471,FALSE,2016-10-12T07:00:00Z
10002358,WENATCHEE NF,ENTIAT,LOWER TYEE FALL 2016,T27N R19E S34,97,776,1070,Y,use cuttoffs as needed.,10-12-2016,47.798,-120.426,FALSE,2016-10-12T07:00:00Z
10002251,WENATCHEE NF,NACHES,LOST SPENCER 2016,T13N R14E S18,90,270,60,Y,mitigate smoke over Hwy 12,10-12-2016,46.6217,-121.1305,FALSE,2016-10-12T07:00:00Z
10001916,COLVILLE NF,NEWPORT,FLOWERY TRAIL GRAPPLE PILES,T32N R43E S17,35,200,0,Y,,10-13-2016,48.270386,-117.405991,FALSE,2016-10-13T07:00:00Z
10002430,COLVILLE NF,SULLIVAN LAKE,HANLON GRAPPLE PILES,T36N R44E S14,35,200,0,Y,,10-13-2016,48.617697,-117.207651,FALSE,2016-10-13T07:00:00Z
10002431,COLVILLE NF,SULLIVAN LAKE,SCOTCHMAN GRAPPLE PILES,T36N R44E S18,35,200,0,N,,10-13-2016,48.617148,-117.300582,FALSE,2016-10-13T07:00:00Z
NE20160271,NE REGION,STIMSON LUMBER COMPANY,COWBOY UP,T31N R42E S12,1,298,0,Y,NO CONDITIONS PER AR 10 STENBECK,10-13-2016,48.20178,-117.448249,FALSE,2016-10-13T07:00:00Z
NE20160274,NE REGION,STIMSON LUMBER COMPANY,BUCKAROO,T32N R42E S12,2,197,0,N,,10-13-2016,48.288411,-117.446027,FALSE,2016-10-13T07:00:00Z
10002306,OKANOGAN NF,TONASKET,FROSTED EXC,T36N R31E S8,74,152,216,,,10-13-2016,48.624906,-118.967348,FALSE,2016-10-13T07:00:00Z
OL20160152,OLY REGION,ANDERSON & MIDDLETON,CEDAR CREEK,T19N R12W S23,38,432,352,Y,,10-13-2016,47.122045,-124.141905,FALSE,2016-10-13T07:00:00Z
OL20160154,OLY REGION,ANDERSON & MIDDLETON,EZRA,T23N R12W S32,86,710,0,Y,,10-13-2016,47.43987,-124.235598,FALSE,2016-10-13T07:00:00Z
OL20160026,OLY REGION,MAKAH FORESTRY ENTERPRISES,,T32N R15W S28,10,168,84,Y,,10-13-2016,48.244939,-124.633825,FALSE,2016-10-13T07:00:00Z
OL20160030,OLY REGION,MAKAH FORESTRY ENTERPRISES,,T32N R15W S34,10,147,70,Y,,10-13-2016,48.230591,-124.612233,FALSE,2016-10-13T07:00:00Z
OL20160142,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T32N R14W S8,70,163,0,N,,10-13-2016,48.28655,-124.530421,FALSE,2016-10-13T07:00:00Z
OL20160149,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T32N R14W S29,161,412,364,Y,,10-13-2016,48.243515,-124.529689,FALSE,2016-10-13T07:00:00Z
OL20160151,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T32N R14W S21,181,497,497,Y,,10-13-2016,48.257377,-124.508871,FALSE,2016-10-13T07:00:00Z
OL20160042,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,65,350,0,N,,10-13-2016,47.917777,-124.38618,FALSE,2016-10-13T07:00:00Z
OL20160043,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,100,550,100,N,,10-13-2016,47.917777,-124.38618,FALSE,2016-10-13T07:00:00Z
OL20160044,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S13,65,450,450,Y,,10-13-2016,47.932002,-124.320812,FALSE,2016-10-13T07:00:00Z
OL20160049,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T29N R12W S21,85,120,120,Y,,10-13-2016,48.00271,-124.255803,FALSE,2016-10-13T07:00:00Z
OL20160084,OLY REGION,RD MERRILL COMPANY,,T31N R12W S35,9,124,83,Y,,10-13-2016,48.140912,-124.209694,FALSE,2016-10-13T07:00:00Z
PC20160144,PC REGION,DNR,SHOWJUMPER SORTS U1,T14N R4W S11,1,340,NA,Y,,10-13-2016,46.714318,-123.150933,FALSE,2016-10-13T07:00:00Z
PC20160145,PC REGION,DNR,SHOWJUMPER SORTS U3,T14N R4W S14,1,120,120,Y,,10-13-2016,46.699707,-123.150861,FALSE,2016-10-13T07:00:00Z
PC20150228,PC REGION,DNR PACIFIC CASCADE,DNR OGDEN MID ALDER CREEK,T9N R2E S1,86,299,NA,Y,,10-13-2016,46.292476,-122.500973,FALSE,2016-10-13T07:00:00Z
PC20160183,PC REGION,PAC WEST LOG CO C/O CAMPBELL GLOBAL,FORT GEORGE,T9N R8W S10,49,110,80,Y,,10-13-2016,46.278913,-123.655517,FALSE,2016-10-13T07:00:00Z
PC20160184,PC REGION,PAC WEST LOG CO C/O CAMPBELL GLOBAL,CORAS COUNTRY,T9N R8W S10,70,139,139,Y,,10-13-2016,46.278913,-123.655517,FALSE,2016-10-13T07:00:00Z
PC20160252,PC REGION,PORT BLAKELY TREE FARMS L.P.,THE BLOOD TRAIL UNIT,T12N R6E S30,127,161,161,Y,,10-13-2016,46.497957,-122.105091,FALSE,2016-10-13T07:00:00Z
PC20160254,PC REGION,PORT BLAKELY TREE FARMS L.P.,TIMBER DEED UNIT,T12N R6E S29,41,111,0,Y,,10-13-2016,46.498122,-122.084049,FALSE,2016-10-13T07:00:00Z
PC20160257,PC REGION,PORT BLAKELY TREE FARMS L.P.,NE 18 UNIT,T11N R5E S18,101,375,0,Y,,10-13-2016,46.436456,-122.230388,FALSE,2016-10-13T07:00:00Z
PC20160259,PC REGION,PORT BLAKELY TREE FARMS L.P.,EAST 20 UNIT,T11N R5E S20,20,247,0,Y,,10-13-2016,46.422169,-122.208818,FALSE,2016-10-13T07:00:00Z
PC20150458,PC REGION,PORT BLAKELY TREE FARMS LP,FURTHER DOWN,T11N R5E S19,21,137,0,Y,,10-13-2016,46.422082,-122.230237,FALSE,2016-10-13T07:00:00Z
PC20160172,PC REGION,TC&I CHINOOK C/O CAMPBELL GLOBAL,SHANNON RD 32,T11N R7W S32,84,317,317,Y,,10-13-2016,46.391326,-123.574406,FALSE,2016-10-13T07:00:00Z
PC20160174,PC REGION,TC&I CHINOOK C/O CAMPBELL GLOBAL,WANAMAKER,T11N R7W S31,85,110,110,Y,2nd priority,10-13-2016,46.391622,-123.593552,FALSE,2016-10-13T07:00:00Z
PC20160175,PC REGION,TCI CAMPBELL,BROOKFIELD 109,T9N R7W S11,43,112,112,Y,,10-13-2016,46.278404,-123.515807,FALSE,2016-10-13T07:00:00Z
SE20160030,SE REGION,WASHINGTON DNR,DNR COUGAR SALVAGE,T7N R12E S19,350,500,NA,Y,,10-13-2016,46.081442,-121.354621,FALSE,2016-10-13T07:00:00Z
SP20160064,SPS REGION,JIM SHAFFER,SHAFFER ERICKSON LOGGING,T16N R5E S28,35,181,NA,Y,NOT TO BURN WHEN WINDS ARE GREATER THAN 7 MPH OUT OF THE EAST,10-13-2016,46.842185,-122.182242,FALSE,2016-10-13T07:00:00Z
10001311,US FISH AND,LITTLE PEND OREILLE NWR,BLACKTAIL GRAPPLE PILES,T35N R41E S35,110,220,NA,Y,Use cutoffs,10-13-2016,48.4877,-117.604,FALSE,2016-10-13T07:00:00Z
10002227,WENATCHEE NF,CHELAN,BEAR MOUNTAIN PILES 2016,T27N R21E S24,25,100,95,Y,Use cutoffs if necessary,10-13-2016,47.83228,-120.162754,FALSE,2016-10-13T07:00:00Z
10002394,WENATCHEE NF,ENTIAT,TOMMY MAD,T29N R18E S32,19,299,1,,,10-13-2016,47.959,-120.59,FALSE,2016-10-13T07:00:00Z
10002401,WENATCHEE NF,ENTIAT,TYEE PILES 2016,T27N R19E S27,77,616,616,Y,,10-13-2016,47.804,-120.439,FALSE,2016-10-13T07:00:00Z
10002251,WENATCHEE NF,NACHES,LOST SPENCER 2016,T13N R14E S18,50,150,50,Y,,10-13-2016,46.6217,-121.1305,FALSE,2016-10-13T07:00:00Z
NE20150418,NE REGION,MERRITT BROS LUMBER CO INC,,T30N R45E S7,50,100,50,Y,APPROVED WITH NO CONDITIONS PER AR 10 STENBECK,10-14-2016,48.111453,-117.164567,FALSE,2016-10-14T07:00:00Z
NE20160271,NE REGION,STIMSON LUMBER COMPANY,COWBOY UP,T31N R42E S12,1,298,0,Y,APPROVED WITH NO CONDITIONS PER AR 10 STENBECK,10-14-2016,48.20178,-117.448249,FALSE,2016-10-14T07:00:00Z
OL20160154,OLY REGION,ANDERSON & MIDDLETON,EZRA,T23N R12W S32,70,710,500,Y,,10-14-2016,47.43987,-124.235598,FALSE,2016-10-14T07:00:00Z
OL20160188,OLY REGION,"BASCOM PACIFIC, LLC C/O CAMPBEL GLOBAL, LLC",4093 LINKSHIRE ML,T17N R8W S6,83,268,NA,Y,,10-14-2016,46.987612,-123.727587,FALSE,2016-10-14T07:00:00Z
OL20160186,OLY REGION,CITY OF MONTESANO,B100,T18N R7W S31,101,626,0,Y,,10-14-2016,47.002208,-123.604345,FALSE,2016-10-14T07:00:00Z
OL20160134,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T31N R14W S19,90,359,359,Y,,10-14-2016,48.175164,-124.549349,FALSE,2016-10-14T07:00:00Z
OL20160135,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T31N R14W S30,95,452,452,Y,,10-14-2016,48.160563,-124.549581,FALSE,2016-10-14T07:00:00Z
OL20160147,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T31N R15W S1,24,148,0,Y,,10-14-2016,48.217125,-124.569146,FALSE,2016-10-14T07:00:00Z
OL20160033,OLY REGION,RAYONIER WASHINGTON TIMBER CO,25N13W349,T25N R13W S23,100,530,0,Y,,10-14-2016,47.656771,-124.344424,FALSE,2016-10-14T07:00:00Z
OL20160037,OLY REGION,RAYONIER WASHINGTON TIMBER CO,26N12W557,T26N R12W S26,80,240,0,Y,,10-14-2016,47.729649,-124.216362,FALSE,2016-10-14T07:00:00Z
OL20160235,OLY REGION,RD MERRILL COMPANY,,T30N R15W S9,60,313,96,Y,,10-14-2016,48.118713,-124.636419,FALSE,2016-10-14T07:00:00Z
OL20160236,OLY REGION,RING FAMILY LP,,T30N R10W S33,14,310,160,Y,,10-14-2016,48.051328,-124.000075,FALSE,2016-10-14T07:00:00Z
PC20160252,PC REGION,PORT BLAKELY TREE FARMS L.P.,THE BLOOD TRAIL UNIT,T12N R6E S30,127,161,0,Y,,10-14-2016,46.497957,-122.105091,FALSE,2016-10-14T07:00:00Z
PC20160254,PC REGION,PORT BLAKELY TREE FARMS L.P.,TIMBER DEED UNIT,T12N R6E S29,41,111,0,Y,,10-14-2016,46.498122,-122.084049,FALSE,2016-10-14T07:00:00Z
PC20160257,PC REGION,PORT BLAKELY TREE FARMS L.P.,NE 18 UNIT,T11N R5E S18,101,375,0,Y,,10-14-2016,46.436456,-122.230388,FALSE,2016-10-14T07:00:00Z
PC20160259,PC REGION,PORT BLAKELY TREE FARMS L.P.,EAST 20 UNIT,T11N R5E S20,20,247,0,Y,,10-14-2016,46.422169,-122.208818,FALSE,2016-10-14T07:00:00Z
PC20150458,PC REGION,PORT BLAKELY TREE FARMS LP,FURTHER DOWN,T11N R5E S19,21,137,0,Y,,10-14-2016,46.422082,-122.230237,FALSE,2016-10-14T07:00:00Z
SP20160074,SPS REGION,PORT BLAKELEY TREE FARM,ICE DEN,T20N R5W S23,64,158,0,N,EXPECTED WINDS OVER 7mph,10-14-2016,47.207227,-123.275907,FALSE,2016-10-14T07:00:00Z
10002336,WENATCHEE NF,CLE ELUM,COOPER CHICK HANDPILES,T22N R13E S3,50,250,125,Y,,10-14-2016,47.42956,-121.2078,FALSE,2016-10-14T07:00:00Z
PC20160252,PC REGION,PORT BLAKELY TREE FARMS L.P.,THE BLOOD TRAIL UNIT,T12N R6E S30,127,161,0,N,As per PC region decision.,10-15-2016,46.497957,-122.105091,FALSE,2016-10-15T07:00:00Z
PC20160254,PC REGION,PORT BLAKELY TREE FARMS L.P.,TIMBER DEED UNIT,T12N R6E S29,41,111,0,N,As per PC region decision.,10-15-2016,46.498122,-122.084049,FALSE,2016-10-15T07:00:00Z
PC20160257,PC REGION,PORT BLAKELY TREE FARMS L.P.,NE 18 UNIT,T11N R5E S18,101,375,0,N,As per PC region decision.,10-15-2016,46.436456,-122.230388,FALSE,2016-10-15T07:00:00Z
PC20160259,PC REGION,PORT BLAKELY TREE FARMS L.P.,EAST 20 UNIT,T11N R5E S20,20,247,0,N,As per PC region decision.,10-15-2016,46.422169,-122.208818,FALSE,2016-10-15T07:00:00Z
PC20150458,PC REGION,PORT BLAKELY TREE FARMS LP,FURTHER DOWN,T11N R5E S19,21,137,0,N,As per PC region decision.,10-15-2016,46.422082,-122.230237,FALSE,2016-10-15T07:00:00Z
SP20160074,SPS REGION,PORT BLAKELEY TREE FARM,ICE DEN,T20N R5W S23,64,158,0,,,10-15-2016,47.207227,-123.275907,FALSE,2016-10-15T07:00:00Z
SP20160076,SPS REGION,PORT BLAKELEY TREE FARM,MISS AGAIN HI,T15N R4W S24,52,112,0,N,,10-15-2016,46.771241,-123.1293,FALSE,2016-10-15T07:00:00Z
PC20160252,PC REGION,PORT BLAKELY TREE FARMS L.P.,THE BLOOD TRAIL UNIT,T12N R6E S30,127,161,0,N,Per PC region decision.,10-16-2016,46.497957,-122.105091,FALSE,2016-10-16T07:00:00Z
PC20160254,PC REGION,PORT BLAKELY TREE FARMS L.P.,TIMBER DEED UNIT,T12N R6E S29,41,111,0,N,Per PC region decision.,10-16-2016,46.498122,-122.084049,FALSE,2016-10-16T07:00:00Z
PC20160257,PC REGION,PORT BLAKELY TREE FARMS L.P.,NE 18 UNIT,T11N R5E S18,101,375,0,N,Per PC region decision.,10-16-2016,46.436456,-122.230388,FALSE,2016-10-16T07:00:00Z
PC20160259,PC REGION,PORT BLAKELY TREE FARMS L.P.,EAST 20 UNIT,T11N R5E S20,20,247,0,N,Per PC region decision.,10-16-2016,46.422169,-122.208818,FALSE,2016-10-16T07:00:00Z
PC20150458,PC REGION,PORT BLAKELY TREE FARMS LP,FURTHER DOWN,T11N R5E S19,21,137,0,N,Per PC region decision.,10-16-2016,46.422082,-122.230237,FALSE,2016-10-16T07:00:00Z
SP20160074,SPS REGION,PORT BLAKELEY TREE FARM,ICE DEN,T20N R5W S23,64,158,0,N,As per SPS region staff.,10-16-2016,47.207227,-123.275907,FALSE,2016-10-16T07:00:00Z
SP20160076,SPS REGION,PORT BLAKELEY TREE FARM,MISS AGAIN HI,T15N R4W S24,52,112,0,N,As per SPS region staff.,10-16-2016,46.771241,-123.1293,FALSE,2016-10-16T07:00:00Z
10001916,COLVILLE NF,NEWPORT,FLOWERY TRAIL GRAPPLE PILES,T32N R43E S17,35,200,0,Y,,10-17-2016,48.270386,-117.405991,FALSE,2016-10-17T07:00:00Z
10002430,COLVILLE NF,SULLIVAN LAKE,HANLON GRAPPLE PILES,T36N R44E S14,35,200,200,Y,,10-17-2016,48.617697,-117.207651,FALSE,2016-10-17T07:00:00Z
10002431,COLVILLE NF,SULLIVAN LAKE,SCOTCHMAN GRAPPLE PILES,T36N R44E S18,35,200,0,Y,,10-17-2016,48.617148,-117.300582,FALSE,2016-10-17T07:00:00Z
10002402,COLVILLE NF,THREE RIVERS,FINN GRAPPLE PILES,T38N R41E S22,71,426,300,Y,,10-17-2016,48.773746,-117.627337,FALSE,2016-10-17T07:00:00Z
NE20160293,NE REGION,"GARDNER, THOMAS",GARDNER PILE BURN,T27N R44E S33,103,416,116,Y,Approved with no conditions per AR 10 Stenbeck,10-17-2016,47.794775,-117.25073,FALSE,2016-10-17T07:00:00Z
NE20150233,NE REGION,"JONES, BONNIE",,T29N R45E S27,82,287,0,Y,Approved with no conditions per AR 10 Stenbeck,10-17-2016,47.980454,-117.102573,FALSE,2016-10-17T07:00:00Z
NE20150418,NE REGION,MERRITT BROS LUMBER CO INC,,T30N R45E S7,50,100,30,Y,Approved with  no conditions per AR 10 Stenbeck,10-17-2016,48.111453,-117.164567,FALSE,2016-10-17T07:00:00Z
10002421,OKANOGAN NF,METHOW VALLEY,2016 CUB CREEK PILES,T36N R21E S20,87,116,NA,,,10-17-2016,48.33929,-120.13202,FALSE,2016-10-17T07:00:00Z
OL20160186,OLY REGION,CITY OF MONTESANO,B100,T18N R7W S31,101,527,0,Y,,10-17-2016,47.002208,-123.604345,FALSE,2016-10-17T07:00:00Z
OL20160164,OLY REGION,GREEN CROW TIMBER,,T31N R15W S21,27,154,0,Y,,10-17-2016,48.174982,-124.635788,FALSE,2016-10-17T07:00:00Z
OL20160169,OLY REGION,GREEN CROW TIMBER,,T31N R15W S17,108,368,200,Y,,10-17-2016,48.189617,-124.657292,FALSE,2016-10-17T07:00:00Z
OL20160138,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T32N R14W S24,46,309,309,Y,,10-17-2016,48.256967,-124.44394,FALSE,2016-10-17T07:00:00Z
OL20160140,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T32N R14W S26,61,284,284,Y,,10-17-2016,48.242828,-124.465176,FALSE,2016-10-17T07:00:00Z
OL20160141,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T32N R15W S24,30,170,0,Y,,10-17-2016,48.258983,-124.568442,FALSE,2016-10-17T07:00:00Z
OL20160142,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T32N R14W S8,70,163,0,Y,,10-17-2016,48.28655,-124.530421,FALSE,2016-10-17T07:00:00Z
OL20160042,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,65,350,0,N,Criteria 1 & 4,10-17-2016,47.917777,-124.38618,FALSE,2016-10-17T07:00:00Z
OL20160043,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,45,475,0,N,Criteria 1 & 4,10-17-2016,47.917777,-124.38618,FALSE,2016-10-17T07:00:00Z
OL20160059,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T29N R15W S13,60,250,0,Y,,10-17-2016,48.018615,-124.577939,FALSE,2016-10-17T07:00:00Z
OL20160061,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T29N R15W S15,80,325,0,Y,,10-17-2016,48.018961,-124.621092,FALSE,2016-10-17T07:00:00Z
OL20160119,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R11W S5,83,724,200,Y,,10-17-2016,47.251999,-124.077737,FALSE,2016-10-17T07:00:00Z
OL20160122,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R12W S14,55,313,313,Y,,10-17-2016,47.223061,-124.141416,FALSE,2016-10-17T07:00:00Z
OL20160126,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R11W S8,71,602,0,Y,,10-17-2016,47.237412,-124.07755,FALSE,2016-10-17T07:00:00Z
PC20160252,PC REGION,PORT BLAKELY TREE FARMS L.P.,THE BLOOD TRAIL UNIT,T12N R6E S30,127,161,0,Y,,10-17-2016,46.497957,-122.105091,FALSE,2016-10-17T07:00:00Z
PC20160254,PC REGION,PORT BLAKELY TREE FARMS L.P.,TIMBER DEED UNIT,T12N R6E S29,41,111,0,Y,,10-17-2016,46.498122,-122.084049,FALSE,2016-10-17T07:00:00Z
PC20160257,PC REGION,PORT BLAKELY TREE FARMS L.P.,NE 18 UNIT,T11N R5E S18,101,375,0,Y,,10-17-2016,46.436456,-122.230388,FALSE,2016-10-17T07:00:00Z
PC20160259,PC REGION,PORT BLAKELY TREE FARMS L.P.,EAST 20 UNIT,T11N R5E S20,20,247,0,Y,,10-17-2016,46.422169,-122.208818,FALSE,2016-10-17T07:00:00Z
PC20150458,PC REGION,PORT BLAKELY TREE FARMS LP,FURTHER DOWN,T11N R5E S19,21,137,0,Y,,10-17-2016,46.422082,-122.230237,FALSE,2016-10-17T07:00:00Z
SE20150425,SE REGION,WA DNR STATE TRUST LANDS,SNAG SALVAGE - 183 PILES,T19N R19E S26,300,400,75,Y,,10-17-2016,47.110696,-120.423107,FALSE,2016-10-17T07:00:00Z
SP20160074,SPS REGION,PORT BLAKELEY TREE FARM,ICE DEN,T20N R5W S23,64,158,58,Y,,10-17-2016,47.207227,-123.275907,FALSE,2016-10-17T07:00:00Z
SP20160076,SPS REGION,PORT BLAKELEY TREE FARM,MISS AGAIN HI,T15N R4W S24,52,112,56,Y,,10-17-2016,46.771241,-123.1293,FALSE,2016-10-17T07:00:00Z
10002227,WENATCHEE NF,CHELAN,BEAR MOUNTAIN PILES 2016,T27N R21E S24,75,299,285,,,10-17-2016,47.83228,-120.162754,FALSE,2016-10-17T07:00:00Z
10002336,WENATCHEE NF,CLE ELUM,COOPER CHICK HANDPILES,T22N R13E S3,40,200,125,,,10-17-2016,47.42956,-121.2078,FALSE,2016-10-17T07:00:00Z
10002428,WENATCHEE NF,CLE ELUM,COUNTY CORNER,T20N R12W S10,50,150,3,,,10-17-2016,47.24454,-121.34005,FALSE,2016-10-17T07:00:00Z
10002401,WENATCHEE NF,ENTIAT,TYEE PILES 2016,T27N R19E S27,190,190,180,Y,,10-17-2016,47.804,-120.439,FALSE,2016-10-17T07:00:00Z
10001916,COLVILLE NF,NEWPORT,FLOWERY TRAIL GRAPPLE PILES,T32N R43E S17,35,200,0,,,10-18-2016,48.270386,-117.405991,FALSE,2016-10-18T07:00:00Z
10001916,COLVILLE NF,NEWPORT,FLOWERY TRAIL GRAPPLE PILES,T32N R43E S17,35,200,NA,Y,,10-18-2016,48.270386,-117.405991,FALSE,2016-10-18T07:00:00Z
10002430,COLVILLE NF,SULLIVAN LAKE,HANLON GRAPPLE PILES,T36N R44E S14,35,200,200,Y,,10-18-2016,48.617697,-117.207651,FALSE,2016-10-18T07:00:00Z
10002431,COLVILLE NF,SULLIVAN LAKE,SCOTCHMAN GRAPPLE PILES,T36N R44E S18,35,200,200,Y,,10-18-2016,48.617148,-117.300582,FALSE,2016-10-18T07:00:00Z
10002402,COLVILLE NF,THREE RIVERS,FINN GRAPPLE PILES,T38N R41E S22,60,360,210,Y,,10-18-2016,48.773746,-117.627337,FALSE,2016-10-18T07:00:00Z
10002403,COLVILLE NF,THREE RIVERS,ROGERS GRAPPLE PILES,T38N R40E S15,50,300,0,Y,,10-18-2016,48.713779,-117.736028,FALSE,2016-10-18T07:00:00Z
NE20160295,NE REGION,DEPARTMENT OF NATURAL RESOURCES,,T36N R42E S16,522,2362,2100,Y,Per NC25 - Paul Nelson,10-18-2016,48.622017,-117.511434,FALSE,2016-10-18T07:00:00Z
NE20160293,NE REGION,"GARDNER, THOMAS",GARDNER PILE BURN,T27N R44E S33,103,416,300,Y,Per AR10 - Andrew Stenbeck,10-18-2016,47.794775,-117.25073,FALSE,2016-10-18T07:00:00Z
NE20150418,NE REGION,MERRITT BROS LUMBER CO INC,,T30N R45E S7,50,100,0,Y,Per AR10 - Andrew Stenbeck,10-18-2016,48.111453,-117.164567,FALSE,2016-10-18T07:00:00Z
NE20160271,NE REGION,STIMSON LUMBER COMPANY,COWBOY UP,T31N R42E S12,2,596,596,Y,Per AR10 - Andrew Stenbeck,10-18-2016,48.20178,-117.448249,FALSE,2016-10-18T07:00:00Z
NE20160274,NE REGION,STIMSON LUMBER COMPANY,BUCKAROO,T32N R42E S12,1,130,90,Y,Per AR10 - Andrew Stenbeck,10-18-2016,48.288411,-117.446027,FALSE,2016-10-18T07:00:00Z
10002421,OKANOGAN NF,METHOW VALLEY,2016 CUB CREEK PILES,T36N R21E S20,87,116,NA,,,10-18-2016,48.33929,-120.13202,FALSE,2016-10-18T07:00:00Z
OL20160186,OLY REGION,CITY OF MONTESANO,B100,T18N R7W S31,101,428,428,Y,,10-18-2016,47.002208,-123.604345,FALSE,2016-10-18T07:00:00Z
OL20160141,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T32N R15W S24,30,170,0,Y,,10-18-2016,48.258983,-124.568442,FALSE,2016-10-18T07:00:00Z
