Time,Conc(ug/m3),Qtot(m3),AT(C),WS(MPS),no(V),RH(%),Delta(C),AT(C),E,U,M,I,L,R,N,F,P,D,C,T,
08/23/18 05:00,     33, 0.834,  25.8,   2.1, 0.009,    23,  37.3,   8.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 06:00,     30, 0.834,  25.2,   2.1, 0.009,    24,  37.4,   7.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 07:00,     30, 0.834,  25.4,   2.1, 0.009,    24,  37.4,   8.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 08:00,     37, 0.834,  26.7,   2.2, 0.009,    24,  37.3,  11.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 09:00,     47, 0.834,  29.0,   2.2, 0.009,    23,  37.1,  14.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 10:00,     46, 0.834,  29.6,   2.2, 0.009,    20,  37.1,  18.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 11:00,     40, 0.834,  30.0,   2.3, 0.009,    19,  37.0,  21.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 12:00,     56, 0.834,  30.4,   2.3, 0.009,    19,  37.0,  22.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 13:00,     96, 0.834,  30.6,   2.3, 0.009,    17,  37.0,  24.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 14:00,    120, 0.834,  30.5,   2.3, 0.009,    17,  37.0,  24.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 15:00,    143, 0.834,  30.4,   2.3, 0.009,    17,  37.0,  24.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 16:00,    134, 0.834,  30.3,   2.3, 0.009,    19,  37.0,  23.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 17:00,    139, 0.834,  30.5,   2.3, 0.009,    18,  37.0,  24.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 18:00,    140, 0.834,  30.4,   2.3, 0.009,    19,  37.0,  23.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 19:00,    142, 0.834,  29.8,   2.3, 0.009,    20,  37.0,  20.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 20:00,    123, 0.834,  29.4,   2.2, 0.009,    20,  37.1,  17.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 21:00,    100, 0.834,  29.3,   2.2, 0.009,    20,  37.1,  14.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 22:00,    101, 0.834,  29.3,   2.2, 0.009,    21,  37.1,  11.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/23/18 23:00,     95, 0.834,  28.5,   2.2, 0.009,    21,  37.1,  10.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 00:00,     86, 0.834,  27.4,   2.2, 0.009,    22,  37.2,   9.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 01:00,     74, 0.834,  26.2,   2.1, 0.009,    22,  37.2,   8.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 02:00,     73, 0.834,  25.2,   2.1, 0.009,    23,  37.4,   7.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 03:00,     68, 0.834,  24.7,   2.1, 0.009,    23,  37.4,   7.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 04:00,     69, 0.834,  25.2,   2.1, 0.009,    23,  37.4,   6.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 05:00,     80, 0.834,  25.5,   2.1, 0.009,    23,  37.4,   6.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 06:00,     82, 0.834,  25.5,   2.1, 0.009,    23,  37.4,   6.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 07:00,     79, 0.834,  25.3,   2.1, 0.009,    23,  37.4,   7.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 08:00,     91, 0.834,  26.8,   2.2, 0.009,    22,  37.3,  10.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 09:00,     80, 0.834,  29.3,   2.2, 0.009,    20,  37.1,  17.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 10:00,     78, 0.834,  30.0,   2.3, 0.009,    18,  37.1,  19.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 11:00,     81, 0.834,  30.3,   2.3, 0.009,    17,  37.0,  21.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 12:00,     94, 0.834,  30.7,   2.3, 0.009,    16,  37.0,  22.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 13:00,    102, 0.834,  30.8,   2.3, 0.009,    16,  37.0,  23.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 14:00,    116, 0.834,  30.6,   2.3, 0.009,    16,  37.0,  23.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 15:00,    124, 0.834,  30.6,   2.3, 0.009,    16,  37.0,  23.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 16:00,    127, 0.834,  30.4,   2.3, 0.009,    15,  37.0,  23.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 17:00,    109, 0.834,  30.2,   2.3, 0.009,    14,  37.0,  22.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 18:00,    101, 0.834,  30.0,   2.3, 0.009,    15,  37.0,  21.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 19:00,    108, 0.834,  29.6,   2.2, 0.009,    16,  37.0,  17.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 20:00,     99, 0.834,  29.4,   2.2, 0.009,    18,  37.1,  14.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 21:00,    103, 0.834,  29.5,   2.2, 0.009,    18,  37.0,  12.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 22:00,     98, 0.834,  28.5,   2.2, 0.009,    19,  37.1,  10.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/24/18 23:00,     89, 0.834,  27.1,   2.2, 0.009,    20,  37.2,   8.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 00:00,     86, 0.834,  26.1,   2.1, 0.009,    20,  37.3,   7.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 01:00,     84, 0.834,  25.1,   2.1, 0.009,    21,  37.2,   6.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 02:00,     90, 0.834,  25.4,   2.1, 0.009,    22,  37.4,   5.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 03:00,     91, 0.834,  25.7,   2.1, 0.009,    22,  37.4,   5.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 04:00,     95, 0.834,  25.7,   2.1, 0.009,    23,  37.3,   5.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 05:00,     97, 0.834,  25.7,   2.1, 0.009,    22,  37.3,   4.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 06:00,     95, 0.834,  25.8,   2.1, 0.009,    22,  37.4,   3.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 07:00,    100, 0.834,  25.7,   2.1, 0.009,    23,  37.3,   4.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 08:00,    102, 0.834,  25.6,   2.1, 0.009,    23,  37.4,   8.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 09:00,    117, 0.834,  28.0,   2.2, 0.009,    22,  37.2,  12.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 10:00,     97, 0.834,  29.3,   2.2, 0.009,    20,  37.1,  15.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 11:00,     76, 0.834,  29.7,   2.2, 0.009,    20,  37.1,  17.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 12:00,     60, 0.834,  29.7,   2.3, 0.009,    19,  37.1,  17.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 13:00,     62, 0.834,  29.8,   2.3, 0.009,    19,  37.0,  18.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 14:00,     80, 0.834,  29.9,   2.3, 0.009,    19,  37.1,  19.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 15:00,     94, 0.834,  29.9,   2.3, 0.009,    19,  37.1,  19.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 16:00,     87, 0.834,  29.8,   2.3, 0.009,    18,  37.0,  19.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 17:00,     73, 0.834,  29.8,   2.3, 0.009,    19,  37.0,  19.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 18:00,     36, 0.834,  29.6,   2.2, 0.009,    19,  37.0,  18.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 19:00,     93, 0.834,  29.5,   2.2, 0.009,    20,  37.0,  17.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 20:00,    111, 0.834,  29.4,   2.2, 0.009,    22,  37.1,  15.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 21:00,    113, 0.834,  29.4,   2.2, 0.009,    22,  37.1,  14.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 22:00,    107, 0.834,  29.3,   2.2, 0.009,    21,  37.1,  14.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/25/18 23:00,    101, 0.834,  29.4,   2.2, 0.009,    22,  37.1,  13.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 00:00,     92, 0.834,  29.2,   2.2, 0.009,    22,  37.1,  10.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 01:00,     80, 0.834,  27.9,   2.2, 0.009,    23,  37.1,   8.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 02:00,     74, 0.834,  26.5,   2.2, 0.009,    23,  37.2,   7.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 03:00,     59, 0.834,  25.2,   2.1, 0.009,    24,  37.3,   6.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 04:00,     61, 0.834,  25.3,   2.1, 0.009,    25,  37.4,   4.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 05:00,     53, 0.834,  25.7,   2.1, 0.009,    24,  37.3,   4.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 06:00,     42, 0.834,  25.7,   2.1, 0.009,    24,  37.3,   4.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 07:00,     42, 0.834,  25.6,   2.1, 0.009,    24,  37.4,   6.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 08:00,     47, 0.834,  26.6,   2.2, 0.009,    24,  37.3,  10.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 09:00,     44, 0.834,  29.2,   2.2, 0.009,    23,  37.1,  13.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 10:00,     35, 0.834,  29.3,   2.2, 0.009,    22,  37.1,  14.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 11:00,     40, 0.834,  29.3,   2.2, 0.009,    23,  37.1,  14.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 12:00,     32, 0.834,  29.4,   2.2, 0.009,    23,  37.1,  15.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 13:00,     19, 0.834,  29.7,   2.3, 0.009,    22,  37.1,  16.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 14:00,     17, 0.834,  29.9,   2.3, 0.009,    21,  37.1,  17.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 15:00,     19, 0.834,  30.1,   2.3, 0.009,    20,  37.1,  18.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 16:00,     18, 0.834,  29.6,   2.3, 0.009,    19,  37.1,  17.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 17:00,     16, 0.834,  29.5,   2.2, 0.009,    19,  37.1,  17.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 18:00,     21, 0.834,  29.4,   2.2, 0.009,    20,  37.1,  16.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 19:00,     25, 0.834,  29.4,   2.2, 0.009,    21,  37.1,  15.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 20:00,     28, 0.834,  29.3,   2.2, 0.009,    22,  37.1,  14.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 21:00,     23, 0.834,  29.4,   2.2, 0.009,    23,  37.1,  13.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 22:00,     17, 0.834,  29.4,   2.2, 0.009,    24,  37.1,  12.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/26/18 23:00,      5, 0.834,  29.5,   2.2, 0.009,    23,  37.1,  13.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 00:00,      6, 0.834,  28.9,   2.2, 0.009,    26,  37.1,  10.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 01:00,      4, 0.834,  28.4,   2.2, 0.009,    27,  37.1,   9.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 02:00,     -0, 0.834,  27.3,   2.2, 0.009,    26,  37.2,   7.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 03:00,      2, 0.834,  25.6,   2.1, 0.009,    26,  37.3,   6.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 04:00,      0, 0.834,  24.9,   2.1, 0.009,    27,  37.4,   5.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 05:00,     -4, 0.834,  25.5,   2.1, 0.009,    26,  37.4,   4.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 06:00,     -1, 0.834,  25.6,   2.1, 0.009,    25,  37.4,   3.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 07:00,      1, 0.834,  25.6,   2.1, 0.009,    27,  37.4,   5.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 08:00,      5, 0.834,  27.0,   2.2, 0.009,    29,  37.2,  11.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 09:00,     10, 0.834,  29.3,   2.2, 0.009,    22,  37.1,  15.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 10:00,      5, 0.834,  29.7,   2.3, 0.009,    20,  37.1,  17.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 11:00,      0, 0.834,  30.0,   2.3, 0.009,    19,  37.1,  18.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 12:00,      2, 0.834,  30.2,   2.3, 0.009,    18,  37.1,  19.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 13:00,     -3, 0.834,  30.3,   2.3, 0.009,    17,  37.1,  19.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 14:00,     -1, 0.834,  30.6,   2.3, 0.009,    16,  37.0,  21.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 15:00,      6, 0.834,  30.4,   2.3, 0.009,    17,  37.0,  21.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 16:00,      1, 0.834,  30.7,   2.3, 0.009,    16,  37.0,  22.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 17:00,     -1, 0.834,  30.6,   2.3, 0.009,    16,  37.0,  22.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 18:00,      5, 0.834,  30.3,   2.3, 0.009,    16,  37.0,  21.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 19:00,      6, 0.834,  29.6,   2.2, 0.009,    17,  37.1,  18.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 20:00,      5, 0.834,  29.3,   2.2, 0.009,    18,  37.1,  14.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 21:00,      1, 0.834,  29.1,   2.2, 0.009,    19,  37.1,  11.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/27/18 22:00,     -2, 0.834,  28.0,   2.2, 0.009,    19,  37.1,   9.0,0,0,0,0,0,0,0,0,0,0,0,0,
