nodeId,timeUtc,aqi,pm1MassConc[ug/m3],pm2_5MassConc[ug/m3],pm10MassConc[ug/m3],no2Conc[ppb],temperature[degC],relHumidity[%],latitude,longitude
A2T34J7V,2018-11-09T01:22:00.000Z,53,,13.058823585510254,,,9.319828033447266,61.09712219238281,47.2266064,-122.462307
A3KT7SWV,2018-11-09T01:22:00.000Z,55,,13.823529243469238,,,9.584190368652344,59.90692138671875,47.2266064,-122.462307
A3KT7SWV,2018-11-09T01:39:00.000Z,38,,9.058823585510254,,,8.13687515258789,63.9261474609375,47.2266064,-122.462307
A2T34J7V,2018-11-09T01:39:00.000Z,37,,8.83720874786377,,,7.9045562744140625,65.08735656738281,47.2266064,-122.462307
A3KT7SWV,2018-11-09T01:56:00.000Z,40,,9.588234901428223,,,7.520027160644531,68.90669250488281,47.2266064,-122.462307
A2T34J7V,2018-11-09T01:57:00.000Z,40,,9.674417495727539,,,7.367816925048828,69.99618530273438,47.2266064,-122.462307
A3KT7SWV,2018-11-09T02:13:00.000Z,33,,7.882352828979492,,,7.338443756103516,71.44731903076172,47.2266064,-122.462307
A2T34J7V,2018-11-09T02:14:00.000Z,36,,8.674418449401855,,,7.242313385009766,72.001220703125,47.2266064,-122.462307
A3KT7SWV,2018-11-09T02:31:00.000Z,39,,9.411765098571777,,,7.351795196533203,73.03425598144531,47.2266064,-122.462307
A2T34J7V,2018-11-09T02:31:00.000Z,42,,10.162790298461914,,,7.298389434814453,73.47982025146484,47.2266064,-122.462307
A3KT7SWV,2018-11-09T02:48:00.000Z,32,,7.647058963775635,,,7.170215606689453,74.65018463134766,47.2266064,-122.462307
A2T34J7V,2018-11-09T02:49:00.000Z,38,,9.139533996582031,,,7.143512725830078,75.65880584716797,47.2266064,-122.462307
A3KT7SWV,2018-11-09T03:05:00.000Z,31,,7.529411792755127,,,7.0420379638671875,76.81849670410156,47.2266064,-122.462307
A2T34J7V,2018-11-09T03:07:00.000Z,34,,8.069766998291016,,,7.01800537109375,76.80018615722656,47.2266064,-122.462307
A3KT7SWV,2018-11-09T03:22:00.000Z,33,,7.882352828979492,,,6.777675628662109,76.33325958251953,47.2266064,-122.462307
A2T34J7V,2018-11-09T03:24:00.000Z,45,,10.860465049743652,,,6.766994476318359,78.09567260742188,47.2266064,-122.462307
A3KT7SWV,2018-11-09T03:39:00.000Z,36,,8.529411315917969,,,6.507972717285156,80,47.2266064,-122.462307
A2T34J7V,2018-11-09T03:41:00.000Z,49,,11.674418449401855,,,6.553367614746094,80.04425048828125,47.2266064,-122.462307
A3KT7SWV,2018-11-09T03:56:00.000Z,43,,10.235294342041016,,,6.339740753173828,80.38758087158203,47.2266064,-122.462307
A2T34J7V,2018-11-09T03:59:00.000Z,46,,10.976743698120117,,,6.385139465332031,80.22430419921875,47.2266064,-122.462307
A3KT7SWV,2018-11-09T04:14:00.000Z,46,,10.941176414489746,,,6.059356689453125,80.51728057861328,47.2266064,-122.462307
A2T34J7V,2018-11-09T04:16:00.000Z,48,,11.511627197265625,,,6.147480010986328,80.77363586425781,47.2266064,-122.462307
A3KT7SWV,2018-11-09T04:31:00.000Z,47,,11.176470756530762,,,5.794994354248047,81.05134582519531,47.2266064,-122.462307
A2T34J7V,2018-11-09T04:33:00.000Z,54,,13.511627197265625,,,5.9231719970703125,80.61798858642578,47.2266064,-122.462307
A2T34J7V,2018-11-09T04:51:00.000Z,57,,14.882352828979492,,,5.586708068847656,82.59098052978516,47.2266064,-122.462307
A3KT7SWV,2018-11-09T05:06:00.000Z,55,,14.058823585510254,,,5.258258819580078,83.67589569091797,47.2266064,-122.462307
A2T34J7V,2018-11-09T05:08:00.000Z,61,,16.720930099487305,,,5.471885681152344,83.30815887451172,47.2266064,-122.462307
A3KT7SWV,2018-11-09T05:23:00.000Z,63,,17.764705657958984,,,5.020599365234375,84.44800567626953,47.2266064,-122.462307
A2T34J7V,2018-11-09T05:26:00.000Z,79,,25.279067993164062,,,5.148777008056641,84.24200439453125,47.2266064,-122.462307
A3KT7SWV,2018-11-09T05:40:00.000Z,61,,16.647058486938477,,,4.908447265625,84.008544921875,47.2266064,-122.462307
A2T34J7V,2018-11-09T05:43:00.000Z,65,,18.953487396240234,,,4.9965667724609375,83.50041961669922,47.2266064,-122.462307
A3KT7SWV,2018-11-09T05:57:00.000Z,64,,18.058822631835938,,,4.700160980224609,83.99176025390625,47.2266064,-122.462307
A2T34J7V,2018-11-09T06:01:00.000Z,74,,22.882352828979492,,,4.742885589599609,83.69420623779297,47.2266064,-122.462307
A3KT7SWV,2018-11-09T06:14:00.000Z,74,,22.882352828979492,,,4.446479797363281,86.45914459228516,47.2266064,-122.462307
A2T34J7V,2018-11-09T06:18:00.000Z,77,,24.41176414489746,,,4.505226135253906,86.12496948242188,47.2266064,-122.462307
A2T34J7V,2018-11-09T06:54:00.000Z,84,,28.02325439453125,,,3.8990631103515625,87.931640625,47.2266064,-122.462307
A2T34J7V,2018-11-09T07:11:00.000Z,80,,25.882352828979492,,,3.7308311462402344,87.35942840576172,47.2266064,-122.462307
A3KT7SWV,2018-11-09T07:26:00.000Z,69,,20.58823585510254,,,3.5625991821289062,85.69466400146484,47.2266064,-122.462307
A3KT7SWV,2018-11-09T07:43:00.000Z,69,,20.823530197143555,,,3.3062477111816406,86.16464233398438,47.2266064,-122.462307
A2T34J7V,2018-11-09T07:47:00.000Z,85,,28.418601989746094,,,3.2955665588378906,86.51712799072266,47.2266064,-122.462307
