MasterTable_ID,Alias,Latitude,Longitude,Date/Time/GMT,Start Date/Time (GMT),COncRT,ConcHr,Flow,W/S,W/D,AT,RHx,RHi,BV,FT,Alarm,Type,Serial Number,Version,Sys. Volts,TimeStamp,PDate
58222748,1026 Kernville EBAM,35.75507,-118.4175,1/5/2019 9:00:00 PM,NA,0.011,0.014,16.7,0.7,354,9,44,23,13.7,15.2,0,PM 10,NA,NA,13.46,1/5/2019 9:04:13 PM,1/5/2019 9:05:00 PM
58223039,1026 Kernville EBAM,35.75507,-118.4175,1/5/2019 10:00:00 PM,NA,0.01,0.004,16.7,0.9,14,9.7,41,22,13.7,15.3,0,PM 10,NA,NA,13.46,1/5/2019 10:04:13 PM,1/5/2019 10:05:00 PM
58223517,1026 Kernville EBAM,35.75507,-118.4175,1/5/2019 11:00:00 PM,NA,0.005,0.009,16.7,0.9,174,10.7,38,21,13.6,16.1,0,PM 10,NA,NA,13.46,1/5/2019 11:04:13 PM,1/5/2019 11:10:00 PM
58223845,1026 Kernville EBAM,35.75507,-118.4175,1/6/2019 12:00:00 AM,NA,0.013,0.01,16.7,0.9,175,10.7,31,18,13.7,16.5,0,PM 10,NA,NA,13.46,1/6/2019 12:04:13 AM,1/6/2019 12:05:00 AM
58224170,1026 Kernville EBAM,35.75507,-118.4175,1/6/2019 1:00:00 AM,NA,0.002,0.005,16.6,0.7,108,9,40,21,13.7,15.2,0,PM 10,NA,NA,13.46,1/6/2019 1:04:13 AM,1/6/2019 1:05:00 AM
58224465,1026 Kernville EBAM,35.75507,-118.4175,1/6/2019 2:00:00 AM,NA,0.005,0.006,16.7,1.1,93,8,50,26,13.7,13.6,0,PM 10,NA,NA,13.46,1/6/2019 2:04:13 AM,1/6/2019 2:08:00 AM
58224899,1026 Kernville EBAM,35.75507,-118.4175,1/6/2019 3:00:00 AM,NA,0.007,0.004,16.7,1.6,103,7,58,31,13.7,11.7,0,PM 10,NA,NA,13.46,1/6/2019 3:04:13 AM,1/6/2019 3:09:00 AM
58225245,1026 Kernville EBAM,35.75507,-118.4175,1/6/2019 4:00:00 AM,NA,0.012,0.014,16.7,0.4,160,6.3,64,32,13.7,12,0,PM 10,NA,NA,13.46,1/6/2019 4:04:13 AM,1/6/2019 4:05:00 AM
58225542,1026 Kernville EBAM,35.75507,-118.4175,1/6/2019 5:00:00 AM,NA,-0.003,0.011,16.7,0.5,147,5.5,75,35,13.6,12.9,0,PM 10,NA,NA,13.46,1/6/2019 5:04:13 AM,1/6/2019 5:05:00 AM
58225814,1026 Kernville EBAM,35.75507,-118.4175,1/6/2019 6:00:00 AM,NA,0.021,0.008,16.7,0.4,59,4.7,83,35,13.5,13.9,0,PM 10,NA,NA,13.46,1/6/2019 6:04:13 AM,1/6/2019 6:05:00 AM
58226213,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 7:00:00 AM,NA,0.014,0.011,16.7,0.3,163,4.4,86,35,13.5,13.8,0,PM 10,NA,NA,13.47,1/6/2019 7:04:13 AM,1/6/2019 7:05:00 AM
58226615,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 8:00:00 AM,NA,0.013,0.016,16.7,0.3,184,4.4,87,35,13.5,13.7,0,PM 10,NA,NA,13.47,1/6/2019 8:04:13 AM,1/6/2019 8:07:00 AM
58226905,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 9:00:00 AM,NA,0.015,0.025,16.7,0.3,232,4.3,87,35,13.5,13.5,0,PM 10,NA,NA,13.47,1/6/2019 9:04:13 AM,1/6/2019 9:05:00 AM
58227163,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 10:00:00 AM,NA,0.027,0.024,16.7,0.3,221,4.2,87,35,13.5,13.6,0,PM 10,NA,NA,13.47,1/6/2019 10:04:13 AM,1/6/2019 10:05:00 AM
58227584,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 11:00:00 AM,NA,0.001,-0.003,16.7,0.3,106,4,88,35,13.4,13.5,0,PM 10,NA,NA,13.47,1/6/2019 11:04:13 AM,1/6/2019 11:05:00 AM
58227990,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 12:00:00 PM,NA,0.013,0.005,16.7,0.5,332,4,88,35,13.4,13.8,0,PM 10,NA,NA,13.47,1/6/2019 12:04:13 PM,1/6/2019 12:08:00 PM
58228332,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 1:00:00 PM,NA,-0.003,-0.003,16.6,0.5,8,3.8,88,38,13.4,13.6,0,PM 10,NA,NA,13.47,1/6/2019 1:04:13 PM,1/6/2019 1:06:00 PM
58228644,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 2:00:00 PM,NA,0.002,0.001,16.7,0.5,7,3.3,88,37,13.4,13.4,0,PM 10,NA,NA,13.47,1/6/2019 2:04:13 PM,1/6/2019 2:05:00 PM
58229083,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 3:00:00 PM,NA,0.003,0.006,16.7,0.5,13,3.2,87,36,13.4,13.4,0,PM 10,NA,NA,13.47,1/6/2019 3:04:13 PM,1/6/2019 3:07:00 PM
58229509,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 4:00:00 PM,NA,0.001,-0,16.7,0.5,354,2.9,88,36,13.4,13.3,0,PM 10,NA,NA,13.47,1/6/2019 4:04:13 PM,1/6/2019 4:05:00 PM
58229847,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 5:00:00 PM,NA,0.009,0.007,16.7,0.5,70,3.4,87,35,13.5,13.7,0,PM 10,NA,NA,13.47,1/6/2019 5:04:13 PM,1/6/2019 5:07:00 PM
58230214,1026 Kernville EBAM,35.75509,-118.4175,1/6/2019 6:00:00 PM,NA,0.002,-0,16.7,0.5,175,6.6,74,30,13.7,15.5,0,PM 10,NA,NA,13.47,1/6/2019 6:04:12 PM,1/6/2019 6:08:00 PM
58230681,1026 Kernville EBAM,35.75506,-118.4175,1/6/2019 7:00:00 PM,NA,-0,0.006,16.7,0.6,144,9.2,60,26,13.8,17.2,0,PM 10,NA,NA,13.48,1/6/2019 7:04:12 PM,1/6/2019 7:05:00 PM
58231123,1026 Kernville EBAM,35.75506,-118.4175,1/6/2019 8:00:00 PM,NA,0.006,0.004,16.7,0.9,72,10.4,47,24,13.8,16.4,0,PM 10,NA,NA,13.48,1/6/2019 8:04:12 PM,1/6/2019 8:05:00 PM
58231449,1026 Kernville EBAM,35.75506,-118.4175,1/6/2019 9:00:00 PM,NA,0.003,0.001,16.7,1,129,11.5,39,23,13.8,16.1,0,PM 10,NA,NA,13.48,1/6/2019 9:04:12 PM,1/6/2019 9:05:00 PM
58231735,1026 Kernville EBAM,35.75506,-118.4175,1/6/2019 10:00:00 PM,NA,-0.005,-0.004,16.7,1.3,189,12.9,37,21,13.8,18.1,0,PM 10,NA,NA,13.48,1/6/2019 10:04:12 PM,1/6/2019 10:06:00 PM
58232169,1026 Kernville EBAM,35.75506,-118.4175,1/6/2019 11:00:00 PM,NA,0.007,-0,16.7,0.7,252,11.9,35,19,13.8,18.2,0,PM 10,NA,NA,13.48,1/6/2019 11:04:12 PM,1/6/2019 11:06:00 PM
58232555,1026 Kernville EBAM,35.75506,-118.4175,1/7/2019 12:00:00 AM,NA,0.001,0.005,16.7,0.9,256,12,36,20,13.8,17.9,0,PM 10,NA,NA,13.48,1/7/2019 12:04:12 AM,1/7/2019 12:07:00 AM
58232924,1026 Kernville EBAM,35.75506,-118.4175,1/7/2019 1:00:00 AM,NA,0.004,0.003,16.6,1.2,158,10.5,44,24,13.8,16.4,0,PM 10,NA,NA,13.48,1/7/2019 1:04:12 AM,1/7/2019 1:08:00 AM
58233246,1026 Kernville EBAM,35.75506,-118.4175,1/7/2019 2:00:00 AM,NA,0.004,0.001,16.7,1.6,350,8.5,57,30,13.8,13.9,0,PM 10,NA,NA,13.48,1/7/2019 2:04:12 AM,1/7/2019 2:08:00 AM
58233652,1026 Kernville EBAM,35.75506,-118.4175,1/7/2019 3:00:00 AM,NA,-0.005,-0.002,16.7,1.2,14,6.5,75,36,13.5,14.4,0,PM 10,NA,NA,13.48,1/7/2019 3:04:12 AM,1/7/2019 3:05:00 AM
58234059,1026 Kernville EBAM,35.75506,-118.4175,1/7/2019 4:00:00 AM,NA,0.002,0.005,16.7,1.4,19,5.1,84,39,13.4,14.1,0,PM 10,NA,NA,13.48,1/7/2019 4:04:12 AM,1/7/2019 4:05:00 AM
58234403,1026 Kernville EBAM,35.75506,-118.4175,1/7/2019 5:00:00 AM,NA,-0,-0,16.7,1.3,8,4.5,86,40,13.4,13.1,0,PM 10,NA,NA,13.48,1/7/2019 5:04:12 AM,1/7/2019 5:10:00 AM
58234655,1026 Kernville EBAM,35.75506,-118.4175,1/7/2019 6:00:00 AM,NA,0.004,-0,16.7,0.8,347,4.3,86,39,13.4,13.3,0,PM 10,NA,NA,13.48,1/7/2019 6:04:12 AM,1/7/2019 6:07:00 AM
58235101,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 7:00:00 AM,NA,-0.003,-0.005,16.7,0.5,356,4.1,87,39,13.4,13.4,0,PM 10,NA,NA,13.44,1/7/2019 7:04:12 AM,1/7/2019 7:08:00 AM
58235434,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 8:00:00 AM,NA,0.008,0.014,16.7,0.5,319,4.3,88,38,13.4,14.2,0,PM 10,NA,NA,13.44,1/7/2019 8:04:12 AM,1/7/2019 8:05:00 AM
58235759,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 9:00:00 AM,NA,-0.001,-0.002,16.7,0.7,9,4.8,89,39,13.4,14.3,0,PM 10,NA,NA,13.44,1/7/2019 9:04:12 AM,1/7/2019 9:05:00 AM
58236051,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 10:00:00 AM,NA,0.001,-0.003,16.7,1,2,5.9,88,40,13.4,14.8,0,PM 10,NA,NA,13.44,1/7/2019 10:04:12 AM,1/7/2019 10:05:00 AM
58236526,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 11:00:00 AM,NA,-0.003,-0.004,16.7,1.3,187,7.9,82,39,13.3,15.8,0,PM 10,NA,NA,13.44,1/7/2019 11:04:12 AM,1/7/2019 11:07:00 AM
58236954,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 12:00:00 PM,NA,-0.001,0.002,16.7,1,123,9.8,78,36,13.3,18.2,0,PM 10,NA,NA,13.44,1/7/2019 12:04:12 PM,1/7/2019 12:05:00 PM
58237367,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 1:00:00 PM,NA,-0.004,-0.003,16.6,1,146,8.7,86,38,13.5,18.3,0,PM 10,NA,NA,13.44,1/7/2019 1:04:12 PM,1/7/2019 1:05:00 PM
58237847,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 2:00:00 PM,NA,0.001,-0,16.7,0.7,141,8.2,87,40,13.6,17.4,0,PM 10,NA,NA,13.44,1/7/2019 2:04:12 PM,1/7/2019 2:06:00 PM
58238327,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 3:00:00 PM,NA,0.004,0.009,16.7,0.4,34,7.3,88,36,13.6,17.9,0,PM 10,NA,NA,13.44,1/7/2019 3:04:12 PM,1/7/2019 3:05:00 PM
58238800,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 4:00:00 PM,NA,0.003,-0.003,16.7,0.5,74,6.8,89,37,13.4,17.2,0,PM 10,NA,NA,13.44,1/7/2019 4:04:12 PM,1/7/2019 4:08:00 PM
58239202,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 5:00:00 PM,NA,-0.001,0.006,16.7,0.5,64,7.3,90,38,13.4,17.6,0,PM 10,NA,NA,13.44,1/7/2019 5:04:12 PM,1/7/2019 5:08:00 PM
58239592,1026 Kernville EBAM,35.7551,-118.4174,1/7/2019 6:00:00 PM,NA,0.018,0.021,16.7,0.5,356,10.4,76,31,13.6,20.1,0,PM 10,NA,NA,13.44,1/7/2019 6:04:12 PM,1/7/2019 6:05:00 PM
58240194,1026 Kernville EBAM,35.75507,-118.4175,1/7/2019 7:00:00 PM,NA,0.001,-0.004,16.7,0.8,335,13.3,57,26,13.7,21.1,0,PM 10,NA,NA,13.45,1/7/2019 7:04:12 PM,1/7/2019 7:05:00 PM
58240785,1026 Kernville EBAM,35.75507,-118.4175,1/7/2019 8:00:00 PM,NA,0.001,0.002,16.7,0.8,103,13.9,49,24,13.8,20.3,0,PM 10,NA,NA,13.45,1/7/2019 8:04:12 PM,1/7/2019 8:06:00 PM
58241184,1026 Kernville EBAM,35.75507,-118.4175,1/7/2019 9:00:00 PM,NA,-0.001,-0.005,16.7,1.2,179,14.9,49,26,13.8,20,0,PM 10,NA,NA,13.45,1/7/2019 9:04:12 PM,1/7/2019 9:05:00 PM
58241667,1026 Kernville EBAM,35.75507,-118.4175,1/7/2019 10:00:00 PM,NA,0.002,0.003,16.7,0.8,267,15.4,46,23,13.7,22.2,0,PM 10,NA,NA,13.45,1/7/2019 10:04:12 PM,1/7/2019 10:10:00 PM
58242167,1026 Kernville EBAM,35.75507,-118.4175,1/7/2019 11:00:00 PM,NA,0.003,0.006,16.7,0.9,300,16.4,42,20,13.8,24.8,0,PM 10,NA,NA,13.45,1/7/2019 11:04:12 PM,1/7/2019 11:07:00 PM
58242684,1026 Kernville EBAM,35.75507,-118.4175,1/8/2019 12:00:00 AM,NA,0.001,-0,16.7,0.9,261,17.2,41,20,13.8,25.5,0,PM 10,NA,NA,13.45,1/8/2019 12:04:12 AM,1/8/2019 12:07:00 AM
58243061,1026 Kernville EBAM,35.75507,-118.4175,1/8/2019 1:00:00 AM,NA,0.01,0.012,16.6,0.5,3,13.2,58,26,13.8,21.3,0,PM 10,NA,NA,13.45,1/8/2019 1:04:12 AM,1/8/2019 1:08:00 AM
58243366,1026 Kernville EBAM,35.75507,-118.4175,1/8/2019 2:00:00 AM,NA,0.004,0.007,16.7,0.4,37,10,72,34,13.7,17,0,PM 10,NA,NA,13.45,1/8/2019 2:04:12 AM,1/8/2019 2:05:00 AM
58243767,1026 Kernville EBAM,35.75507,-118.4175,1/8/2019 3:00:00 AM,NA,0.025,0.026,16.7,0.4,16,9,76,35,13.7,16.6,0,PM 10,NA,NA,13.45,1/8/2019 3:04:12 AM,1/8/2019 3:05:00 AM
58244186,1026 Kernville EBAM,35.75507,-118.4175,1/8/2019 4:00:00 AM,NA,0.001,-0.005,16.7,0.8,22,8.7,73,35,13.7,15.6,0,PM 10,NA,NA,13.45,1/8/2019 4:04:12 AM,1/8/2019 4:07:00 AM
58244489,1026 Kernville EBAM,35.75507,-118.4175,1/8/2019 5:00:00 AM,NA,0.009,0.014,16.7,0.3,73,7.3,78,35,13.6,15.6,0,PM 10,NA,NA,13.45,1/8/2019 5:04:12 AM,1/8/2019 5:08:00 AM
58244737,1026 Kernville EBAM,35.75507,-118.4175,1/8/2019 6:00:00 AM,NA,-0.003,0.001,16.7,0.4,51,6.4,81,35,13.5,15.4,0,PM 10,NA,NA,13.45,1/8/2019 6:04:12 AM,1/8/2019 6:05:00 AM
58245140,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 7:00:00 AM,NA,0.019,0.019,16.7,0.5,21,6,82,35,13.5,15.2,0,PM 10,NA,NA,13.47,1/8/2019 7:04:12 AM,1/8/2019 7:05:00 AM
58245526,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 8:00:00 AM,NA,0.004,-0.005,16.7,0.4,40,6.2,78,35,13.6,14.3,0,PM 10,NA,NA,13.47,1/8/2019 8:04:12 AM,1/8/2019 8:05:00 AM
58245827,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 9:00:00 AM,NA,-0,0.019,16.7,0.4,349,6.7,75,35,13.6,14,0,PM 10,NA,NA,13.47,1/8/2019 9:04:12 AM,1/8/2019 9:06:00 AM
58246107,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 10:00:00 AM,NA,0.007,-0.001,16.7,0.4,35,6.4,76,35,13.6,13.9,0,PM 10,NA,NA,13.47,1/8/2019 10:04:12 AM,1/8/2019 10:05:00 AM
58246622,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 11:00:00 AM,NA,-0.005,-0.001,16.7,0.6,13,7.2,72,35,13.6,13.8,0,PM 10,NA,NA,13.47,1/8/2019 11:04:12 AM,1/8/2019 11:08:00 AM
58246986,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 12:00:00 PM,NA,0.012,0.006,16.7,0.7,355,7.9,68,34,13.7,13.4,0,PM 10,NA,NA,13.47,1/8/2019 12:04:12 PM,1/8/2019 12:05:00 PM
58247424,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 1:00:00 PM,NA,0.008,0.002,16.6,0.3,41,7.1,72,35,13.6,14.1,0,PM 10,NA,NA,13.47,1/8/2019 1:04:12 PM,1/8/2019 1:05:00 PM
58247882,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 2:00:00 PM,NA,0.003,0.012,16.7,0.7,14,7,72,35,13.7,14,0,PM 10,NA,NA,13.47,1/8/2019 2:04:12 PM,1/8/2019 2:08:00 PM
58248331,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 3:00:00 PM,NA,-0,-0.005,16.7,0.6,39,6.4,75,35,13.5,14.3,0,PM 10,NA,NA,13.47,1/8/2019 3:04:13 PM,1/8/2019 3:06:00 PM
58248803,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 4:00:00 PM,NA,0.012,0.011,16.7,0.8,26,6.5,74,35,13.6,14.1,0,PM 10,NA,NA,13.47,1/8/2019 4:04:13 PM,1/8/2019 4:05:00 PM
58249243,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 5:00:00 PM,NA,-0.004,-0,16.7,0.9,8,7.5,70,35,13.6,14.1,0,PM 10,NA,NA,13.47,1/8/2019 5:04:13 PM,1/8/2019 5:05:00 PM
58249654,1026 Kernville EBAM,35.75509,-118.4175,1/8/2019 6:00:00 PM,NA,0.001,-0.003,16.7,0.9,343,9.8,64,32,13.8,15.6,0,PM 10,NA,NA,13.47,1/8/2019 6:04:12 PM,1/8/2019 6:06:00 PM
58250180,1026 Kernville EBAM,35.7551,-118.4175,1/8/2019 7:00:00 PM,NA,0.002,0.004,16.7,0.9,317,12.4,56,28,13.8,18.7,0,PM 10,NA,NA,13.45,1/8/2019 7:04:12 PM,1/8/2019 7:05:00 PM
58250772,1026 Kernville EBAM,35.7551,-118.4175,1/8/2019 8:00:00 PM,NA,0.009,0.008,16.7,1,61,14.1,51,26,13.8,20.4,0,PM 10,NA,NA,13.45,1/8/2019 8:04:12 PM,1/8/2019 8:10:00 PM
58251135,1026 Kernville EBAM,35.7551,-118.4175,1/8/2019 9:00:00 PM,NA,-0,-0.001,16.7,0.8,356,15,49,25,13.8,21.1,0,PM 10,NA,NA,13.45,1/8/2019 9:04:12 PM,1/8/2019 9:05:00 PM
58251485,1026 Kernville EBAM,35.7551,-118.4175,1/8/2019 10:00:00 PM,NA,0.005,0.007,16.7,0.8,311,15.9,46,23,13.8,22.8,0,PM 10,NA,NA,13.45,1/8/2019 10:04:12 PM,1/8/2019 10:05:00 PM
58252039,1026 Kernville EBAM,35.7551,-118.4175,1/8/2019 11:00:00 PM,NA,0.004,0.001,16.7,1.3,207,17.1,41,21,13.8,24.6,0,PM 10,NA,NA,13.45,1/8/2019 11:04:12 PM,1/8/2019 11:07:00 PM
58252536,1026 Kernville EBAM,35.7551,-118.4175,1/9/2019 12:00:00 AM,NA,0.005,0.005,16.7,2.4,213,15.8,43,23,13.8,21.7,0,PM 10,NA,NA,13.45,1/9/2019 12:04:12 AM,1/9/2019 12:05:00 AM
58252937,1026 Kernville EBAM,35.7551,-118.4175,1/9/2019 1:00:00 AM,NA,0.008,0.008,16.6,2.7,205,14.3,46,26,13.8,18.8,0,PM 10,NA,NA,13.45,1/9/2019 1:04:12 AM,1/9/2019 1:05:00 AM
58253252,1026 Kernville EBAM,35.7551,-118.4175,1/9/2019 2:00:00 AM,NA,0.009,0.007,16.7,1.4,144,12.5,53,29,13.8,17,0,PM 10,NA,NA,13.45,1/9/2019 2:04:12 AM,1/9/2019 2:05:00 AM
58253684,1026 Kernville EBAM,35.7551,-118.4175,1/9/2019 3:00:00 AM,NA,0.007,0.009,16.7,0.8,48,9.8,64,33,13.8,15.1,0,PM 10,NA,NA,13.45,1/9/2019 3:04:12 AM,1/9/2019 3:07:00 AM
58254037,1026 Kernville EBAM,35.7551,-118.4175,1/9/2019 4:00:00 AM,NA,0.004,0.003,16.7,0.5,44,8.2,71,35,13.6,14.8,0,PM 10,NA,NA,13.45,1/9/2019 4:04:12 AM,1/9/2019 4:07:00 AM
58254350,1026 Kernville EBAM,35.7551,-118.4175,1/9/2019 5:00:00 AM,NA,0.002,0.002,16.7,0.5,42,7.7,72,35,13.6,14.7,0,PM 10,NA,NA,13.45,1/9/2019 5:04:12 AM,1/9/2019 5:05:00 AM
58254623,1026 Kernville EBAM,35.7551,-118.4175,1/9/2019 6:00:00 AM,NA,-0,-0.002,16.7,0.4,56,6.5,77,35,13.5,14.9,0,PM 10,NA,NA,13.45,1/9/2019 6:04:12 AM,1/9/2019 6:05:00 AM
58255042,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 7:00:00 AM,NA,0.013,0.021,16.7,0.4,49,6.1,78,35,13.5,14.7,0,PM 10,NA,NA,13.45,1/9/2019 7:04:12 AM,1/9/2019 7:06:00 AM
58255395,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 8:00:00 AM,NA,0.011,-0.005,16.7,0.4,30,6.1,77,35,13.5,14.3,0,PM 10,NA,NA,13.45,1/9/2019 8:04:12 AM,1/9/2019 8:08:00 AM
58255680,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 9:00:00 AM,NA,-0.005,0.001,16.7,0.7,26,6.8,73,35,13.5,14.2,0,PM 10,NA,NA,13.45,1/9/2019 9:04:12 AM,1/9/2019 9:05:00 AM
58255945,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 10:00:00 AM,NA,0.017,0.01,16.7,0.6,41,6.2,74,35,13.5,13.9,0,PM 10,NA,NA,13.45,1/9/2019 10:04:12 AM,1/9/2019 10:05:00 AM
58256333,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 11:00:00 AM,NA,0.004,0.011,16.7,0.5,51,5.1,77,35,13.5,13.6,0,PM 10,NA,NA,13.45,1/9/2019 11:04:12 AM,1/9/2019 11:05:00 AM
58256817,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 12:00:00 PM,NA,-0.005,0.002,16.7,0.6,32,5.6,74,35,13.5,13.1,0,PM 10,NA,NA,13.45,1/9/2019 12:04:12 PM,1/9/2019 12:08:00 PM
58257264,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 1:00:00 PM,NA,0.026,-0.005,16.6,0.8,46,5.8,71,35,13.6,12.7,0,PM 10,NA,NA,13.45,1/9/2019 1:04:12 PM,1/9/2019 1:06:00 PM
58257701,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 2:00:00 PM,NA,0.001,0.018,16.7,0.5,82,5.1,73,35,13.6,12.5,0,PM 10,NA,NA,13.45,1/9/2019 2:04:12 PM,1/9/2019 2:05:00 PM
58258253,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 3:00:00 PM,NA,-0.003,-0.005,16.7,0.4,54,4,78,35,13.5,12.5,0,PM 10,NA,NA,13.45,1/9/2019 3:04:12 PM,1/9/2019 3:08:00 PM
58258672,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 4:00:00 PM,NA,0.018,0.021,16.7,0.5,112,3.9,77,35,13.6,12.2,0,PM 10,NA,NA,13.45,1/9/2019 4:04:13 PM,1/9/2019 4:06:00 PM
58259058,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 5:00:00 PM,NA,-0.004,-0.005,16.7,0.6,127,4.6,75,34,13.6,12.6,0,PM 10,NA,NA,13.45,1/9/2019 5:04:13 PM,1/9/2019 5:05:00 PM
58259479,1026 Kernville EBAM,35.75507,-118.4175,1/9/2019 6:00:00 PM,NA,0.002,0.003,16.7,0.9,157,8.7,59,28,13.7,15.4,0,PM 10,NA,NA,13.45,1/9/2019 6:04:12 PM,1/9/2019 6:05:00 PM
58260085,1026 Kernville EBAM,35.75506,-118.4175,1/9/2019 7:00:00 PM,NA,0.003,0.005,16.7,0.9,194,11.8,49,24,13.7,18.7,0,PM 10,NA,NA,13.5,1/9/2019 7:04:12 PM,1/9/2019 7:05:00 PM
58260674,1026 Kernville EBAM,35.75506,-118.4175,1/9/2019 8:00:00 PM,NA,0.004,0.007,16.7,1.2,179,13,47,24,13.7,19.5,0,PM 10,NA,NA,13.5,1/9/2019 8:04:12 PM,1/9/2019 8:05:00 PM
58261084,1026 Kernville EBAM,35.75506,-118.4175,1/9/2019 9:00:00 PM,NA,-0.002,-0.005,16.7,1.1,206,14.2,42,23,13.7,20,0,PM 10,NA,NA,13.5,1/9/2019 9:04:12 PM,1/9/2019 9:05:00 PM
58261512,1026 Kernville EBAM,35.75506,-118.4175,1/9/2019 10:00:00 PM,NA,0.006,0.004,16.7,1.3,206,16,39,21,13.7,22.1,0,PM 10,NA,NA,13.5,1/9/2019 10:04:12 PM,1/9/2019 10:07:00 PM
58262016,1026 Kernville EBAM,35.75506,-118.4175,1/9/2019 11:00:00 PM,NA,0.003,0.011,16.7,1.6,173,16.3,39,21,13.7,22.6,0,PM 10,NA,NA,13.5,1/9/2019 11:04:12 PM,1/9/2019 11:05:00 PM
58262595,1026 Kernville EBAM,35.75506,-118.4175,1/10/2019 12:00:00 AM,NA,0.011,0.004,16.7,1,63,15.1,44,23,13.7,21.3,0,PM 10,NA,NA,13.5,1/10/2019 12:04:12 AM,1/10/2019 12:05:00 AM
58262994,1026 Kernville EBAM,35.75506,-118.4175,1/10/2019 1:00:00 AM,NA,-0.004,0.002,16.6,2.6,28,13.1,49,27,13.8,18.4,0,PM 10,NA,NA,13.5,1/10/2019 1:04:12 AM,1/10/2019 1:06:00 AM
58263295,1026 Kernville EBAM,35.75506,-118.4175,1/10/2019 2:00:00 AM,NA,0.007,0.006,16.7,0.9,108,12.1,56,31,13.8,16.8,0,PM 10,NA,NA,13.5,1/10/2019 2:04:12 AM,1/10/2019 2:06:00 AM
58263686,1026 Kernville EBAM,35.75506,-118.4175,1/10/2019 3:00:00 AM,NA,-0.005,-0.005,16.7,1.1,25,10.4,75,36,13.4,17.7,0,PM 10,NA,NA,13.5,1/10/2019 3:04:12 AM,1/10/2019 3:08:00 AM
58264077,1026 Kernville EBAM,35.75506,-118.4175,1/10/2019 4:00:00 AM,NA,0.007,0.01,16.7,1.7,21,10.2,74,35,13.5,18.2,0,PM 10,NA,NA,13.5,1/10/2019 4:04:12 AM,1/10/2019 4:05:00 AM
58264363,1026 Kernville EBAM,35.75506,-118.4175,1/10/2019 5:00:00 AM,NA,0.007,0.007,16.7,1.5,22,10,71,35,13.6,16.9,0,PM 10,NA,NA,13.5,1/10/2019 5:04:12 AM,1/10/2019 5:05:00 AM
58264663,1026 Kernville EBAM,35.75506,-118.4175,1/10/2019 6:00:00 AM,NA,0.002,-0.001,16.7,1.3,31,9.5,70,35,13.7,16.3,0,PM 10,NA,NA,13.5,1/10/2019 6:04:12 AM,1/10/2019 6:10:00 AM
58264992,1026 Kernville EBAM,35.75507,-118.4174,1/10/2019 7:00:00 AM,NA,-0.003,0.003,16.7,1.3,39,9.2,70,35,13.7,16,0,PM 10,NA,NA,13.45,1/10/2019 7:04:12 AM,1/10/2019 7:05:00 AM
